rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
133,cigar,coffees,sampled,hops,illicit,vermicelli,bread,emissions,decayed,muscatel,snuffbox,shellfish
134,sundries,theese,groceries,nixes,drinkable,articles,raisins,stoles,chews,victuals,purloin,phials
135,ochre,distilleries,cupful,snuffs,vermicelli,masticated,skeins,coff,stink,mustbe,monopoly,invoiced
136,clipper,alkali,sweetened,mucilage,doilies,caramel,haversack,centers,bounties,picklock,intoxicate,sniffing
137,nicaragua,imported,sheeps,mids,bricks,leather,glue,liqueur,mulberries,ovvn,receptacles,quantifies
138,jesuit,capers,kegs,gunpowder,pipe,drinkers,rosin,muffins,grudges,acetate,lube,sachets
139,cask,cranberries,deals,buttermilk,woollens,gatherers,brandied,whiskey,rummaged,fetches,flaxseed,sirloin
140,cloves,distilled,exported,malt,commodity,immoderately,ticketed,pickings,coppers,snuffbox,exhaled,pumpkin
141,hempen,nicaragua,import,butter,cargos,commodities,flagons,cope,pistachio,prussic,gamboge,cottonseed
142,exporting,vermicelli,cheeses,treacle,filings,villainously,blubber,shiners,canister,relight,abstemious,caffeine
143,coatings,pud,malt,exporting,sawdust,ipecac,ketchup,disallow,liquids,butit,enslaving,untaxed
144,tortoise,unrefined,colonials,skeins,sailcloth,breweries,yelpers,uranium,slicing,smoking,resold,sampled
145,deals,turpentine,hardware,apples,distilled,brimstone,picklock,morphine,catsup,plantains,edibles,whiffs
146,peterson,sniffle,strips,distilled,gallons,porridge,immoderately,quantify,flask,cocktail,perfumery,blacking
147,canisters,mixtures,nats,sampling,housing,skewers,nitrates,depleting,monopoly,vintages,smuggled,marketed
148,cofee,oranges,grinds,growers,cranberries,veneers,hookah,cleavers,plantains,cake,aromatic,turnovers
149,ironmongery,exporting,alpaca,kegs,slopped,drawback,customs,fermented,chips,cig,husks,spearmint
150,gallops,plantains,unsorted,pepper,cheeses,cordage,bagging,flagon,unrefined,importing,unscrupulously,slumps
151,sweepings,plantain,flex,truffles,teakettle,slops,merchandise,nutmeg,crystallized,reconverted,bruno,casseroles
152,sugary,haberdashery,glassware,peppermint,saccharine,contraband,toppings,aslo,plug,nicks,impoverishes,aromatic
153,peppers,factored,prunes,unpacking,syrups,whiffs,nitric,verts,labelling,voraciously,mousetrap,goodo
154,shipments,herrings,vanilla,tenpence,packing,quintals,gingerbread,pimento,eatables,joying,stinks,glutted
155,bonded,towelling,garlic,catsup,pumpkins,swilling,diluting,whiffing,auger,blubber,fumigating,plenteous
156,raves,stoup,sweepings,adulteration,cider,reducer,gargle,liquors,snipped,shackling,sugary,valentines
157,consignment,sulphate,snorkel,saccharine,clippings,spirituous,quintals,ricker,fruits,chicory,pashas,byproducts
158,crockery,revalue,codfish,sugary,commodities,beefsteak,wrapping,nettles,fluorine,exudes,stills,bananas
159,pipes,sizing,beer,brewed,manufacture,saccharine,decanter,devours,theree,labelling,instils,suckers
160,walnuts,dyeing,pickles,cupful,bottoms,cheeses,peelings,untaxed,spicy,gulp,crushers,dumpers
161,planks,borax,flagons,bagi,customs,snuffing,kernels,molasses,distillation,manof,epics,ferrying
162,nightcaps,refining,ropers,biscuit,chees,eatables,quintal,pumpkins,hankerchief,casein,musthave,gluttonous
163,enforceable,catalogs,spruce,peelings,solder,pilfered,cheapened,dotard,libations,monopoly,hempseed,codfish
164,blancmange,chocolate,molasses,gallons,adulteration,smelling,ginger,kilograms,whisky,drinking,trumpery,scup
165,capers,storage,timber,ale,butter,sublimate,morphine,minnows,brandied,cupping,glosses,sipping
166,dipped,cutlery,teaspoonful,brandy,grog,decoction,sublimate,memes,smashers,papery,encumber,beer
167,salted,puddings,kelp,sizing,citric,rubbers,acetate,earthenware,catties,unpacking,fakirs,gardenias
168,mids,merchandise,deletes,intoxicating,unladen,blubber,unbleached,brandy,disengagement,mulberries,sheeps,smelling
169,dulcis,warehousing,stemmed,prohi,wines,silk,smuggle,pipes,pips,sugary,purchasable,eggshells
170,kerchiefs,strainer,ochre,stemmed,cocoon,proofing,litres,fesses,sulphuric,chewed,carcasses,spiced
171,castings,dulls,spices,uncertified,slaves,rectifier,cottons,palmetto,shipper,candies,intoxicating,artificials
172,queering,runi,petroleum,drug,leavings,cutouts,gluttony,layering,pipes,sipping,granaries,tasters
173,wine,contraband,distilleries,hogshead,cutout,isinglass,manufactures,gooseberries,fets,cannisters,indiscriminately,thinners
174,kian,fazed,eatables,wool,creosote,smokers,platters,hipped,isinglass,smelled,sulphurous,subbing
175,dulling,flops,cutlery,rehab,snipped,tuxes,pickings,spittoons,lucifer,softener,indulgences,cornering
176,scrapers,consignments,unladen,sampled,unsorted,sauterne,spoked,giblets,quids,rattrap,nightcaps,blackberries
177,lentils,adulterate,sponges,morphine,gunpowder,quantity,pancakes,bleats,flax,drumstick,huckster,perishable
178,carpeting,teaspoons,concrete,yeast,invoiced,pumpkin,filings,fumigate,procures,teakettle,docket,smokers
179,hemp,corks,nuts,yams,bandannas,taxable,granulated,exchanger,luscious,grog,repacked,underdone
180,lobsters,tortoiseshell,noggin,drinkin,confectionary,whisky,teaspoons,kru,rummaging,pampering,quinces,slopping
181,stalks,pennyworth,exportation,tamarind,ounces,peppermint,invoiced,thayer,alcohol,vient,coffe,unusable
182,clearances,retailer,scuff,distillers,scuds,drinks,repealed,cranberries,unsorted,cochineal,decoction,appetizing
183,turbots,lemonade,speller,warehoused,apples,champaign,tenpence,hubble,tarde,quanti,chicory,heavies
184,cauliflowers,snuff,extensor,refining,intuits,excised,citric,aves,worthlessness,whiff,heres,acrid
185,quintal,beetroot,limeys,prohibition,shyer,gallons,guava,hercule,truffles,overstock,tuxes,truffles
